Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | T: 512 | dt: 1514ms | tok/sec: 346,393 | mfu: 8.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854656 | lrm: 1.00 | T: 512 | dt: 287ms | tok/sec: 1,826,246 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442198 | lrm: 1.00 | T: 512 | dt: 287ms | tok/sec: 1,825,100 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971442 | lrm: 1.00 | T: 512 | dt: 362ms | tok/sec: 1,446,718 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578557 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,777,382 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248419 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,738,087 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997318 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,761,378 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.785847 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,732,959 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.605350 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,774,142 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.452738 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,802,677 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.322219 | lrm: 1.00 | T: 512 | dt: 301ms | tok/sec: 1,744,669 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.212732 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,786,301 | mfu: 43.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.115216 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,786,628 | mfu: 43.2% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.028308 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,757,308 | mfu: 42.5% | epoch: 1 | remaining: 299s    
step 00284 (29.2%) | loss: 3.325335 | lrm: 1.00 | T: 512 | dt: 330ms | tok/sec: 1,589,878 | mfu: 38.4% | epoch: 1 | remaining: 212s    
step 00285 (29.4%) | loss: 3.323850 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,803,194 | mfu: 43.6% | epoch: 1 | remaining: 212s    
step 00286 (29.5%) | loss: 3.325123 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,733,705 | mfu: 41.9% | epoch: 1 | remaining: 211s    
step 00287 (29.6%) | loss: 3.324215 | lrm: 1.00 | T: 512 | dt: 301ms | tok/sec: 1,741,237 | mfu: 42.1% | epoch: 1 | remaining: 211s    
step 00288 (29.7%) | loss: 3.328305 | lrm: 1.00 | T: 512 | dt: 358ms | tok/sec: 1,465,712 | mfu: 35.4% | epoch: 1 | remaining: 211s    
step 00289 (29.8%) | loss: 3.325180 | lrm: 1.00 | T: 512 | dt: 372ms | tok/sec: 1,409,785 | mfu: 34.1% | epoch: 1 | remaining: 210s    
step 00290 (29.9%) | loss: 3.323112 | lrm: 1.00 | T: 512 | dt: 289ms | tok/sec: 1,811,650 | mfu: 43.8% | epoch: 1 | remaining: 210s    
step 00291 (30.0%) | loss: 3.320976 | lrm: 1.00 | T: 512 | dt: 297ms | tok/sec: 1,765,092 | mfu: 42.6% | epoch: 1 | remaining: 210s    
step 00292 (30.1%) | loss: 3.319072 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,777,813 | mfu: 43.0% | epoch: 1 | remaining: 209s    
step 00293 (30.2%) | loss: 3.316167 | lrm: 1.00 | T: 512 | dt: 306ms | tok/sec: 1,711,609 | mfu: 41.4% | epoch: 1 | remaining: 209s    
step 00294 (30.3%) | loss: 3.314264 | lrm: 1.00 | T: 512 | dt: 405ms | tok/sec: 1,293,200 | mfu: 31.2% | epoch: 1 | remaining: 209s    
step 00295 (30.4%) | loss: 3.319257 | lrm: 1.00 | T: 512 | dt: 390ms | tok/sec: 1,345,371 | mfu: 32.5% | epoch: 1 | remaining: 208s    
step 00296 (30.6%) | loss: 3.321277 | lrm: 1.00 | T: 512 | dt: 393ms | tok/sec: 1,333,859 | mfu: 32.2% | epoch: 1 | remaining: 208s    
step 00297 (30.7%) | loss: 3.325782 | lrm: 1.00 | T: 512 | dt: 316ms | tok/sec: 1,658,907 | mfu: 40.1% | epoch: 1 | remaining: 208s    
step 00298 (30.8%) | loss: 3.321027 | lrm: 1.00 | T: 512 | dt: 391ms | tok/sec: 1,342,453 | mfu: 32.4% | epoch: 1 | remaining: 207s    
step 00299 (30.9%) | loss: 3.312679 | lrm: 1.00 | T: 512 | dt: 309ms | tok/sec: 1,695,556 | mfu: 41.0% | epoch: 1 | remaining: 207s    
step 00300 (31.0%) | loss: 3.312014 | lrm: 1.00 | T: 512 | dt: 306ms | tok/sec: 1,711,252 | mfu: 41.3% | epoch: 1 | remaining: 207s    
step 00301 (31.1%) | loss: 3.313020 | lrm: 1.00 | T: 512 | dt: 311ms | tok/sec: 1,688,262 | mfu: 40.8% | epoch: 1 | remaining: 206s    
step 00302 (31.2%) | loss: 3.311566 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,781,303 | mfu: 43.0% | epoch: 1 | remaining: 206s    
step 00303 (31.3%) | loss: 3.310077 | lrm: 1.00 | T: 512 | dt: 429ms | tok/sec: 1,222,992 | mfu: 29.5% | epoch: 1 | remaining: 206s    
step 00304 (31.5%) | loss: 3.307275 | lrm: 1.00 | T: 512 | dt: 398ms | tok/sec: 1,317,525 | mfu: 31.8% | epoch: 1 | remaining: 205s    
step 00305 (31.6%) | loss: 3.306797 | lrm: 1.00 | T: 512 | dt: 335ms | tok/sec: 1,566,841 | mfu: 37.9% | epoch: 1 | remaining: 205s    
step 00306 (31.7%) | loss: 3.303380 | lrm: 1.00 | T: 512 | dt: 400ms | tok/sec: 1,309,778 | mfu: 31.6% | epoch: 1 | remaining: 204s    
step 00307 (31.9%) | loss: 3.299297 | lrm: 1.00 | T: 512 | dt: 315ms | tok/sec: 1,661,919 | mfu: 40.2% | epoch: 1 | remaining: 204s    
step 00308 (32.0%) | loss: 3.297154 | lrm: 1.00 | T: 512 | dt: 417ms | tok/sec: 1,257,291 | mfu: 30.4% | epoch: 1 | remaining: 204s    
step 00309 (32.1%) | loss: 3.294782 | lrm: 1.00 | T: 512 | dt: 379ms | tok/sec: 1,383,257 | mfu: 33.4% | epoch: 1 | remaining: 203s    
step 00310 (32.2%) | loss: 3.295693 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,806,379 | mfu: 43.6% | epoch: 1 | remaining: 203s    
step 00311 (32.3%) | loss: 3.296339 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,808,490 | mfu: 43.7% | epoch: 1 | remaining: 203s    
step 00312 (32.4%) | loss: 3.294576 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,738,840 | mfu: 42.0% | epoch: 1 | remaining: 202s    
step 00313 (32.5%) | loss: 3.294399 | lrm: 1.00 | T: 512 | dt: 348ms | tok/sec: 1,508,698 | mfu: 36.5% | epoch: 1 | remaining: 202s    
step 00314 (32.6%) | loss: 3.289579 | lrm: 1.00 | T: 512 | dt: 361ms | tok/sec: 1,450,588 | mfu: 35.0% | epoch: 1 | remaining: 202s    
step 00315 (32.8%) | loss: 3.286792 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,798,425 | mfu: 43.5% | epoch: 1 | remaining: 201s    
step 00316 (32.9%) | loss: 3.289081 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,757,867 | mfu: 42.5% | epoch: 1 | remaining: 201s    
step 00317 (33.0%) | loss: 3.284126 | lrm: 1.00 | T: 512 | dt: 355ms | tok/sec: 1,475,850 | mfu: 35.7% | epoch: 1 | remaining: 201s    
step 00318 (33.1%) | loss: 3.281093 | lrm: 1.00 | T: 512 | dt: 363ms | tok/sec: 1,442,337 | mfu: 34.8% | epoch: 1 | remaining: 200s    
step 00319 (33.2%) | loss: 3.281974 | lrm: 1.00 | T: 512 | dt: 343ms | tok/sec: 1,527,032 | mfu: 36.9% | epoch: 1 | remaining: 200s    
step 00320 (33.3%) | loss: 3.281603 | lrm: 1.00 | T: 512 | dt: 364ms | tok/sec: 1,441,856 | mfu: 34.8% | epoch: 1 | remaining: 200s    
step 00321 (33.4%) | loss: 3.285157 | lrm: 1.00 | T: 512 | dt: 347ms | tok/sec: 1,512,764 | mfu: 36.6% | epoch: 1 | remaining: 199s    
step 00322 (33.5%) | loss: 3.281671 | lrm: 1.00 | T: 512 | dt: 360ms | tok/sec: 1,455,135 | mfu: 35.2% | epoch: 1 | remaining: 199s    
step 00323 (33.7%) | loss: 3.277701 | lrm: 1.00 | T: 512 | dt: 318ms | tok/sec: 1,646,913 | mfu: 39.8% | epoch: 1 | remaining: 199s    
step 00324 (33.8%) | loss: 3.277811 | lrm: 1.00 | T: 512 | dt: 304ms | tok/sec: 1,723,368 | mfu: 41.6% | epoch: 1 | remaining: 198s    
step 00325 (33.9%) | loss: 3.276145 | lrm: 1.00 | T: 512 | dt: 327ms | tok/sec: 1,602,681 | mfu: 38.7% | epoch: 1 | remaining: 198s    
step 00326 (34.0%) | loss: 3.279613 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,758,173 | mfu: 42.5% | epoch: 1 | remaining: 198s    
step 00327 (34.1%) | loss: 3.283330 | lrm: 1.00 | T: 512 | dt: 310ms | tok/sec: 1,689,160 | mfu: 40.8% | epoch: 1 | remaining: 197s    
step 00328 (34.2%) | loss: 3.278101 | lrm: 1.00 | T: 512 | dt: 328ms | tok/sec: 1,600,789 | mfu: 38.7% | epoch: 1 | remaining: 197s    
step 00329 (34.3%) | loss: 3.279759 | lrm: 1.00 | T: 512 | dt: 313ms | tok/sec: 1,675,769 | mfu: 40.5% | epoch: 1 | remaining: 197s    
step 00330 (34.4%) | loss: 3.277004 | lrm: 1.00 | T: 512 | dt: 310ms | tok/sec: 1,689,288 | mfu: 40.8% | epoch: 1 | remaining: 197s    
step 00331 (34.5%) | loss: 3.278705 | lrm: 1.00 | T: 512 | dt: 320ms | tok/sec: 1,639,466 | mfu: 39.6% | epoch: 1 | remaining: 196s    
step 00332 (34.6%) | loss: 3.276303 | lrm: 1.00 | T: 512 | dt: 300ms | tok/sec: 1,747,808 | mfu: 42.2% | epoch: 1 | remaining: 196s    
step 00333 (34.7%) | loss: 3.275125 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,727,860 | mfu: 41.7% | epoch: 1 | remaining: 196s    
step 00334 (34.8%) | loss: 3.273837 | lrm: 1.00 | T: 512 | dt: 323ms | tok/sec: 1,625,205 | mfu: 39.3% | epoch: 1 | remaining: 195s    
step 00335 (34.9%) | loss: 3.271613 | lrm: 1.00 | T: 512 | dt: 320ms | tok/sec: 1,638,095 | mfu: 39.6% | epoch: 1 | remaining: 195s    
step 00336 (35.0%) | loss: 3.273368 | lrm: 1.00 | T: 512 | dt: 356ms | tok/sec: 1,471,417 | mfu: 35.6% | epoch: 1 | remaining: 195s    
step 00337 (35.1%) | loss: 3.277636 | lrm: 1.00 | T: 512 | dt: 322ms | tok/sec: 1,629,461 | mfu: 39.4% | epoch: 1 | remaining: 194s    
step 00338 (35.2%) | loss: 3.275332 | lrm: 1.00 | T: 512 | dt: 313ms | tok/sec: 1,676,302 | mfu: 40.5% | epoch: 1 | remaining: 194s    
step 00339 (35.3%) | loss: 3.275774 | lrm: 1.00 | T: 512 | dt: 316ms | tok/sec: 1,658,727 | mfu: 40.1% | epoch: 1 | remaining: 194s    
step 00340 (35.5%) | loss: 3.276805 | lrm: 1.00 | T: 512 | dt: 313ms | tok/sec: 1,676,087 | mfu: 40.5% | epoch: 1 | remaining: 193s    
step 00341 (35.6%) | loss: 3.279977 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,802,916 | mfu: 43.6% | epoch: 1 | remaining: 193s    
step 00342 (35.7%) | loss: 3.280255 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,769,594 | mfu: 42.8% | epoch: 1 | remaining: 193s    
step 00343 (35.8%) | loss: 3.275080 | lrm: 1.00 | T: 512 | dt: 343ms | tok/sec: 1,527,084 | mfu: 36.9% | epoch: 1 | remaining: 192s    
step 00344 (35.9%) | loss: 3.274004 | lrm: 1.00 | T: 512 | dt: 314ms | tok/sec: 1,667,938 | mfu: 40.3% | epoch: 1 | remaining: 192s    
step 00345 (36.0%) | loss: 3.278187 | lrm: 1.00 | T: 512 | dt: 322ms | tok/sec: 1,627,908 | mfu: 39.3% | epoch: 1 | remaining: 192s    
step 00346 (36.1%) | loss: 3.274231 | lrm: 1.00 | T: 512 | dt: 394ms | tok/sec: 1,331,127 | mfu: 32.2% | epoch: 1 | remaining: 191s    
step 00347 (36.2%) | loss: 3.268806 | lrm: 1.00 | T: 512 | dt: 344ms | tok/sec: 1,524,161 | mfu: 36.8% | epoch: 1 | remaining: 191s    
step 00348 (36.3%) | loss: 3.267603 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,729,878 | mfu: 41.8% | epoch: 1 | remaining: 191s    
step 00349 (36.4%) | loss: 3.267515 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,758,757 | mfu: 42.5% | epoch: 1 | remaining: 190s    
step 00350 (36.5%) | loss: 3.266107 | lrm: 1.00 | T: 512 | dt: 318ms | tok/sec: 1,648,894 | mfu: 39.8% | epoch: 1 | remaining: 190s    
step 00351 (36.6%) | loss: 3.265752 | lrm: 1.00 | T: 512 | dt: 347ms | tok/sec: 1,510,338 | mfu: 36.5% | epoch: 1 | remaining: 190s    
step 00352 (36.7%) | loss: 3.265073 | lrm: 1.00 | T: 512 | dt: 324ms | tok/sec: 1,618,117 | mfu: 39.1% | epoch: 1 | remaining: 189s    
step 00353 (36.9%) | loss: 3.263981 | lrm: 1.00 | T: 512 | dt: 307ms | tok/sec: 1,708,618 | mfu: 41.3% | epoch: 1 | remaining: 189s    
step 00354 (37.0%) | loss: 3.260026 | lrm: 1.00 | T: 512 | dt: 343ms | tok/sec: 1,526,822 | mfu: 36.9% | epoch: 1 | remaining: 189s    
step 00355 (37.1%) | loss: 3.254967 | lrm: 1.00 | T: 512 | dt: 332ms | tok/sec: 1,580,713 | mfu: 38.2% | epoch: 1 | remaining: 188s    
step 00356 (37.2%) | loss: 3.257769 | lrm: 1.00 | T: 512 | dt: 328ms | tok/sec: 1,600,190 | mfu: 38.7% | epoch: 1 | remaining: 188s    
step 00357 (37.3%) | loss: 3.260858 | lrm: 1.00 | T: 512 | dt: 352ms | tok/sec: 1,489,086 | mfu: 36.0% | epoch: 1 | remaining: 188s    
step 00358 (37.4%) | loss: 3.263426 | lrm: 1.00 | T: 512 | dt: 447ms | tok/sec: 1,173,820 | mfu: 28.4% | epoch: 1 | remaining: 187s    
step 00359 (37.6%) | loss: 3.263315 | lrm: 1.00 | T: 512 | dt: 322ms | tok/sec: 1,628,151 | mfu: 39.3% | epoch: 1 | remaining: 187s    
step 00360 (37.7%) | loss: 3.261515 | lrm: 1.00 | T: 512 | dt: 306ms | tok/sec: 1,710,691 | mfu: 41.3% | epoch: 1 | remaining: 187s    
step 00361 (37.8%) | loss: 3.260456 | lrm: 1.00 | T: 512 | dt: 381ms | tok/sec: 1,377,416 | mfu: 33.3% | epoch: 1 | remaining: 186s    
step 00362 (37.9%) | loss: 3.255862 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,782,131 | mfu: 43.1% | epoch: 1 | remaining: 186s    
step 00363 (38.0%) | loss: 3.256694 | lrm: 1.00 | T: 512 | dt: 412ms | tok/sec: 1,272,684 | mfu: 30.8% | epoch: 1 | remaining: 186s    
step 00364 (38.1%) | loss: 3.253463 | lrm: 1.00 | T: 512 | dt: 311ms | tok/sec: 1,687,187 | mfu: 40.8% | epoch: 1 | remaining: 185s    
step 00365 (38.2%) | loss: 3.253181 | lrm: 1.00 | T: 512 | dt: 350ms | tok/sec: 1,498,427 | mfu: 36.2% | epoch: 1 | remaining: 185s    
step 00366 (38.4%) | loss: 3.250711 | lrm: 1.00 | T: 512 | dt: 370ms | tok/sec: 1,416,324 | mfu: 34.2% | epoch: 1 | remaining: 185s    
step 00367 (38.5%) | loss: 3.252117 | lrm: 1.00 | T: 512 | dt: 314ms | tok/sec: 1,668,905 | mfu: 40.3% | epoch: 1 | remaining: 184s    
step 00368 (38.6%) | loss: 3.251741 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,736,332 | mfu: 42.0% | epoch: 1 | remaining: 184s    
step 00369 (38.7%) | loss: 3.252911 | lrm: 1.00 | T: 512 | dt: 314ms | tok/sec: 1,669,797 | mfu: 40.3% | epoch: 1 | remaining: 184s    
step 00370 (38.8%) | loss: 3.250427 | lrm: 1.00 | T: 512 | dt: 353ms | tok/sec: 1,487,086 | mfu: 35.9% | epoch: 1 | remaining: 183s    
step 00371 (38.9%) | loss: 3.247904 | lrm: 1.00 | T: 512 | dt: 306ms | tok/sec: 1,714,298 | mfu: 41.4% | epoch: 1 | remaining: 183s    
step 00372 (39.0%) | loss: 3.250376 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,804,739 | mfu: 43.6% | epoch: 1 | remaining: 183s    
step 00373 (39.1%) | loss: 3.249330 | lrm: 1.00 | T: 512 | dt: 300ms | tok/sec: 1,745,492 | mfu: 42.2% | epoch: 1 | remaining: 182s    
step 00374 (39.2%) | loss: 3.244322 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,771,698 | mfu: 42.8% | epoch: 1 | remaining: 182s    
step 00375 (39.3%) | loss: 3.243070 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,785,089 | mfu: 43.1% | epoch: 1 | remaining: 182s    
step 00376 (39.4%) | loss: 3.242168 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,776,774 | mfu: 42.9% | epoch: 1 | remaining: 182s    
step 00377 (39.5%) | loss: 3.240563 | lrm: 1.00 | T: 512 | dt: 306ms | tok/sec: 1,714,331 | mfu: 41.4% | epoch: 1 | remaining: 181s    
step 00378 (39.6%) | loss: 3.242295 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,791,389 | mfu: 43.3% | epoch: 1 | remaining: 181s    
step 00379 (39.7%) | loss: 3.240422 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,799,006 | mfu: 43.5% | epoch: 1 | remaining: 181s    
step 00380 (39.8%) | loss: 3.233848 | lrm: 1.00 | T: 512 | dt: 386ms | tok/sec: 1,359,138 | mfu: 32.8% | epoch: 1 | remaining: 180s    
step 00381 (39.9%) | loss: 3.235580 | lrm: 1.00 | T: 512 | dt: 308ms | tok/sec: 1,703,087 | mfu: 41.1% | epoch: 1 | remaining: 180s    
step 00382 (40.0%) | loss: 3.232609 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,808,267 | mfu: 43.7% | epoch: 1 | remaining: 180s    
step 00383 (40.1%) | loss: 3.230821 | lrm: 1.00 | T: 512 | dt: 300ms | tok/sec: 1,746,072 | mfu: 42.2% | epoch: 1 | remaining: 179s    
step 00384 (40.2%) | loss: 3.230955 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,757,624 | mfu: 42.5% | epoch: 1 | remaining: 179s    
step 00385 (40.3%) | loss: 3.233544 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,790,255 | mfu: 43.3% | epoch: 1 | remaining: 179s    
step 00386 (40.4%) | loss: 3.236069 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,788,092 | mfu: 43.2% | epoch: 1 | remaining: 178s    
step 00387 (40.5%) | loss: 3.235433 | lrm: 1.00 | T: 512 | dt: 297ms | tok/sec: 1,762,518 | mfu: 42.6% | epoch: 1 | remaining: 178s    
step 00388 (40.6%) | loss: 3.233272 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,773,189 | mfu: 42.8% | epoch: 1 | remaining: 178s    
step 00389 (40.7%) | loss: 3.233435 | lrm: 1.00 | T: 512 | dt: 321ms | tok/sec: 1,632,670 | mfu: 39.4% | epoch: 1 | remaining: 178s    
step 00390 (40.8%) | loss: 3.233913 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,788,722 | mfu: 43.2% | epoch: 1 | remaining: 177s    
step 00391 (40.9%) | loss: 3.232426 | lrm: 1.00 | T: 512 | dt: 338ms | tok/sec: 1,552,141 | mfu: 37.5% | epoch: 1 | remaining: 177s    
step 00392 (41.0%) | loss: 3.227918 | lrm: 1.00 | T: 512 | dt: 297ms | tok/sec: 1,763,412 | mfu: 42.6% | epoch: 1 | remaining: 177s    
step 00393 (41.1%) | loss: 3.228839 | lrm: 1.00 | T: 512 | dt: 359ms | tok/sec: 1,462,010 | mfu: 35.3% | epoch: 1 | remaining: 176s    
step 00394 (41.2%) | loss: 3.225211 | lrm: 1.00 | T: 512 | dt: 288ms | tok/sec: 1,817,629 | mfu: 43.9% | epoch: 1 | remaining: 176s    
step 00395 (41.3%) | loss: 3.220221 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,797,370 | mfu: 43.4% | epoch: 1 | remaining: 176s    
step 00396 (41.4%) | loss: 3.214082 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,808,585 | mfu: 43.7% | epoch: 1 | remaining: 175s    
step 00397 (41.5%) | loss: 3.216239 | lrm: 1.00 | T: 512 | dt: 311ms | tok/sec: 1,687,473 | mfu: 40.8% | epoch: 1 | remaining: 175s    
step 00398 (41.6%) | loss: 3.217187 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,803,635 | mfu: 43.6% | epoch: 1 | remaining: 175s    
step 00399 (41.7%) | loss: 3.209934 | lrm: 1.00 | T: 512 | dt: 352ms | tok/sec: 1,490,393 | mfu: 36.0% | epoch: 1 | remaining: 174s    
step 00400 (41.9%) | loss: 3.209703 | lrm: 1.00 | T: 512 | dt: 320ms | tok/sec: 1,638,418 | mfu: 39.6% | epoch: 1 | remaining: 174s    
step 00401 (42.0%) | loss: 3.204693 | lrm: 1.00 | T: 512 | dt: 289ms | tok/sec: 1,815,214 | mfu: 43.9% | epoch: 1 | remaining: 174s    
step 00402 (42.1%) | loss: 3.205134 | lrm: 1.00 | T: 512 | dt: 310ms | tok/sec: 1,688,566 | mfu: 40.8% | epoch: 1 | remaining: 174s    
step 00403 (42.2%) | loss: 3.203231 | lrm: 1.00 | T: 512 | dt: 322ms | tok/sec: 1,626,460 | mfu: 39.3% | epoch: 1 | remaining: 173s    
step 00404 (42.3%) | loss: 3.201869 | lrm: 1.00 | T: 512 | dt: 352ms | tok/sec: 1,489,858 | mfu: 36.0% | epoch: 1 | remaining: 173s    
step 00405 (42.4%) | loss: 3.202633 | lrm: 1.00 | T: 512 | dt: 289ms | tok/sec: 1,816,801 | mfu: 43.9% | epoch: 1 | remaining: 173s    
step 00406 (42.5%) | loss: 3.205679 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,809,155 | mfu: 43.7% | epoch: 1 | remaining: 172s    
step 00407 (42.6%) | loss: 3.208090 | lrm: 1.00 | T: 512 | dt: 315ms | tok/sec: 1,664,030 | mfu: 40.2% | epoch: 1 | remaining: 172s    
step 00408 (42.7%) | loss: 3.201327 | lrm: 1.00 | T: 512 | dt: 388ms | tok/sec: 1,351,090 | mfu: 32.6% | epoch: 1 | remaining: 172s    
step 00409 (42.8%) | loss: 3.203969 | lrm: 1.00 | T: 512 | dt: 336ms | tok/sec: 1,558,400 | mfu: 37.7% | epoch: 1 | remaining: 171s    
step 00410 (42.9%) | loss: 3.210998 | lrm: 1.00 | T: 512 | dt: 325ms | tok/sec: 1,612,376 | mfu: 39.0% | epoch: 1 | remaining: 171s    
step 00411 (43.0%) | loss: 3.216611 | lrm: 1.00 | T: 512 | dt: 322ms | tok/sec: 1,627,861 | mfu: 39.3% | epoch: 1 | remaining: 171s    
step 00412 (43.1%) | loss: 3.213901 | lrm: 1.00 | T: 512 | dt: 330ms | tok/sec: 1,589,685 | mfu: 38.4% | epoch: 1 | remaining: 170s    
step 00413 (43.3%) | loss: 3.216387 | lrm: 1.00 | T: 512 | dt: 357ms | tok/sec: 1,467,884 | mfu: 35.5% | epoch: 1 | remaining: 170s    
step 00414 (43.4%) | loss: 3.214182 | lrm: 1.00 | T: 512 | dt: 337ms | tok/sec: 1,557,729 | mfu: 37.6% | epoch: 1 | remaining: 170s    
step 00415 (43.5%) | loss: 3.211534 | lrm: 1.00 | T: 512 | dt: 317ms | tok/sec: 1,652,787 | mfu: 39.9% | epoch: 1 | remaining: 169s    
step 00416 (43.6%) | loss: 3.213031 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,768,697 | mfu: 42.7% | epoch: 1 | remaining: 169s    
step 00417 (43.7%) | loss: 3.215254 | lrm: 1.00 | T: 512 | dt: 310ms | tok/sec: 1,690,209 | mfu: 40.8% | epoch: 1 | remaining: 169s    
step 00418 (43.8%) | loss: 3.215005 | lrm: 1.00 | T: 512 | dt: 377ms | tok/sec: 1,391,446 | mfu: 33.6% | epoch: 1 | remaining: 168s    
step 00419 (43.9%) | loss: 3.209031 | lrm: 1.00 | T: 512 | dt: 308ms | tok/sec: 1,701,503 | mfu: 41.1% | epoch: 1 | remaining: 168s    
step 00420 (44.0%) | loss: 3.207684 | lrm: 1.00 | T: 512 | dt: 319ms | tok/sec: 1,642,915 | mfu: 39.7% | epoch: 1 | remaining: 168s    
step 00421 (44.1%) | loss: 3.204827 | lrm: 1.00 | T: 512 | dt: 323ms | tok/sec: 1,621,893 | mfu: 39.2% | epoch: 1 | remaining: 167s    
step 00422 (44.2%) | loss: 3.203747 | lrm: 1.00 | T: 512 | dt: 328ms | tok/sec: 1,598,617 | mfu: 38.6% | epoch: 1 | remaining: 167s    
step 00423 (44.3%) | loss: 3.209793 | lrm: 1.00 | T: 512 | dt: 344ms | tok/sec: 1,525,799 | mfu: 36.9% | epoch: 1 | remaining: 167s    
step 00424 (44.5%) | loss: 3.211598 | lrm: 1.00 | T: 512 | dt: 341ms | tok/sec: 1,538,076 | mfu: 37.2% | epoch: 1 | remaining: 166s    
step 00425 (44.6%) | loss: 3.212446 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,794,715 | mfu: 43.4% | epoch: 1 | remaining: 166s    
step 00426 (44.7%) | loss: 3.207104 | lrm: 1.00 | T: 512 | dt: 307ms | tok/sec: 1,710,319 | mfu: 41.3% | epoch: 1 | remaining: 166s    
